event_id,session_id,user_id,event_name,event_at,source
1,1,1,view_home,2026-03-20 15:44:00,product
2,1,1,search,2026-03-20 15:44:43,product
3,1,1,view_product,2026-03-20 15:45:26,product
4,2,1,view_home,2026-03-15 01:50:00,product
5,2,1,view_product,2026-03-15 01:50:43,product
6,2,1,add_to_cart,2026-03-15 01:51:26,product
7,2,1,checkout_start,2026-03-15 01:52:09,product
8,3,1,view_home,2026-03-20 10:55:00,product
9,3,1,search,2026-03-20 10:55:43,product
10,4,2,view_home,2026-03-05 01:59:00,product
11,4,2,view_product,2026-03-05 01:59:43,product
12,5,2,view_home,2026-03-07 00:43:00,product
13,6,2,view_home,2026-03-05 03:19:00,product
14,6,2,search,2026-03-05 03:19:43,product
15,6,2,view_product,2026-03-05 03:20:26,product
16,6,2,add_to_cart,2026-03-05 03:21:09,product
17,6,2,checkout_start,2026-03-05 03:21:52,product
18,7,2,view_home,2026-03-14 21:25:00,product
19,7,2,search,2026-03-14 21:25:43,product
20,7,2,view_product,2026-03-14 21:26:26,product
21,7,2,add_to_cart,2026-03-14 21:27:09,product
22,7,2,checkout_start,2026-03-14 21:27:52,product
23,8,2,view_home,2026-03-17 08:23:00,product
24,8,2,search,2026-03-17 08:23:43,product
25,8,2,view_product,2026-03-17 08:24:26,product
26,9,2,view_home,2026-03-07 01:57:00,product
27,9,2,search,2026-03-07 01:57:43,product
28,9,2,view_product,2026-03-07 01:58:26,product
29,10,3,view_home,2026-03-10 06:44:00,product
30,10,3,search,2026-03-10 06:44:43,product
31,10,3,add_to_cart,2026-03-10 06:45:26,product
32,10,3,checkout_start,2026-03-10 06:46:09,product
33,10,3,purchase,2026-03-10 06:46:52,product
34,11,3,view_home,2026-03-11 14:40:00,product
35,11,3,search,2026-03-11 14:40:43,product
36,11,3,view_product,2026-03-11 14:41:26,product
37,12,3,view_home,2026-03-17 05:20:00,product
38,12,3,search,2026-03-17 05:20:43,product
39,12,3,view_product,2026-03-17 05:21:26,product
40,12,3,add_to_cart,2026-03-17 05:22:09,product
41,12,3,checkout_start,2026-03-17 05:22:52,product
42,13,3,view_home,2026-03-17 04:25:00,product
43,13,3,search,2026-03-17 04:25:43,product
44,13,3,view_product,2026-03-17 04:26:26,product
45,13,3,add_to_cart,2026-03-17 04:27:09,product
46,13,3,checkout_start,2026-03-17 04:27:52,product
47,13,3,purchase,2026-03-17 04:28:35,product
48,14,3,view_home,2026-03-16 18:37:00,product
49,14,3,search,2026-03-16 18:37:43,product
50,14,3,view_product,2026-03-16 18:38:26,product
51,14,3,add_to_cart,2026-03-16 18:39:09,product
52,14,3,checkout_start,2026-03-16 18:39:52,product
53,15,3,view_home,2026-03-15 05:56:00,product
54,15,3,search,2026-03-15 05:56:43,product
55,16,3,view_home,2026-03-11 20:21:00,product
56,16,3,view_product,2026-03-11 20:21:43,product
57,16,3,add_to_cart,2026-03-11 20:22:26,product
58,16,3,checkout_start,2026-03-11 20:23:09,product
59,17,4,view_home,2026-03-09 03:04:00,product
60,17,4,search,2026-03-09 03:04:43,product
61,17,4,add_to_cart,2026-03-09 03:05:26,product
62,17,4,checkout_start,2026-03-09 03:06:09,product
63,17,4,purchase,2026-03-09 03:06:52,product
64,18,4,view_home,2026-03-18 18:32:00,product
65,18,4,search,2026-03-18 18:32:43,product
66,18,4,view_product,2026-03-18 18:33:26,product
67,18,4,add_to_cart,2026-03-18 18:34:09,product
68,18,4,checkout_start,2026-03-18 18:34:52,product
69,18,4,purchase,2026-03-18 18:35:35,product
70,19,4,view_home,2026-03-09 12:54:00,product
71,19,4,view_product,2026-03-09 12:54:43,product
72,20,4,view_home,2026-03-12 02:52:00,product
73,20,4,search,2026-03-12 02:52:43,product
74,20,4,view_product,2026-03-12 02:53:26,product
75,21,5,view_home,2026-03-16 01:38:00,product
76,22,6,view_home,2026-03-11 12:57:00,product
77,22,6,search,2026-03-11 12:57:43,product
78,23,6,view_home,2026-03-15 11:18:00,product
79,23,6,view_product,2026-03-15 11:18:43,product
80,24,6,view_home,2026-03-07 08:28:00,product
81,24,6,add_to_cart,2026-03-07 08:28:43,product
82,24,6,checkout_start,2026-03-07 08:29:26,product
83,25,6,view_home,2026-03-13 13:34:00,product
84,25,6,view_product,2026-03-13 13:34:43,product
85,25,6,add_to_cart,2026-03-13 13:35:26,product
86,25,6,checkout_start,2026-03-13 13:36:09,product
87,26,6,view_home,2026-03-08 13:42:00,product
88,26,6,search,2026-03-08 13:42:43,product
89,26,6,view_product,2026-03-08 13:43:26,product
90,27,6,view_home,2026-03-12 04:10:00,product
91,27,6,view_product,2026-03-12 04:10:43,product
92,28,6,view_home,2026-03-05 08:32:00,product
93,28,6,search,2026-03-05 08:32:43,product
94,28,6,view_product,2026-03-05 08:33:26,product
95,28,6,add_to_cart,2026-03-05 08:34:09,product
96,28,6,checkout_start,2026-03-05 08:34:52,product
97,28,6,purchase,2026-03-05 08:35:35,product
98,29,7,view_home,2026-03-11 13:41:00,product
99,29,7,search,2026-03-11 13:41:43,product
100,29,7,view_product,2026-03-11 13:42:26,product
101,29,7,add_to_cart,2026-03-11 13:43:09,product
102,29,7,checkout_start,2026-03-11 13:43:52,product
103,30,7,view_home,2026-03-09 14:11:00,product
104,30,7,view_product,2026-03-09 14:11:43,product
105,31,7,view_home,2026-03-11 09:30:00,product
106,31,7,view_product,2026-03-11 09:30:43,product
107,32,7,view_home,2026-03-09 16:57:00,product
108,32,7,search,2026-03-09 16:57:43,product
109,32,7,view_product,2026-03-09 16:58:26,product
110,33,7,view_home,2026-03-19 11:39:00,product
111,33,7,search,2026-03-19 11:39:43,product
112,33,7,view_product,2026-03-19 11:40:26,product
113,34,7,view_home,2026-03-14 07:53:00,product
114,34,7,search,2026-03-14 07:53:43,product
115,34,7,view_product,2026-03-14 07:54:26,product
116,34,7,add_to_cart,2026-03-14 07:55:09,product
117,34,7,checkout_start,2026-03-14 07:55:52,product
118,35,8,view_home,2026-03-12 02:37:00,product
119,35,8,search,2026-03-12 02:37:43,product
120,36,8,view_home,2026-03-20 20:21:00,product
121,36,8,view_product,2026-03-20 20:21:43,product
122,37,8,view_home,2026-03-13 21:28:00,product
123,37,8,view_product,2026-03-13 21:28:43,product
124,38,8,view_home,2026-03-22 13:01:00,product
125,38,8,search,2026-03-22 13:01:43,product
126,38,8,view_product,2026-03-22 13:02:26,product
127,39,8,view_home,2026-03-14 22:39:00,product
128,39,8,view_product,2026-03-14 22:39:43,product
129,39,8,add_to_cart,2026-03-14 22:40:26,product
130,39,8,checkout_start,2026-03-14 22:41:09,product
131,40,9,view_home,2026-03-17 12:14:00,product
132,40,9,view_product,2026-03-17 12:14:43,product
133,41,9,view_home,2026-03-11 16:26:00,product
134,41,9,search,2026-03-11 16:26:43,product
135,41,9,view_product,2026-03-11 16:27:26,product
136,41,9,add_to_cart,2026-03-11 16:28:09,product
137,41,9,checkout_start,2026-03-11 16:28:52,product
138,42,10,view_home,2026-03-14 01:53:00,product
139,42,10,view_product,2026-03-14 01:53:43,product
140,42,10,add_to_cart,2026-03-14 01:54:26,product
141,42,10,checkout_start,2026-03-14 01:55:09,product
142,43,10,view_home,2026-03-24 16:24:00,product
143,43,10,view_product,2026-03-24 16:24:43,product
144,44,10,view_home,2026-03-16 02:38:00,product
145,44,10,view_product,2026-03-16 02:38:43,product
146,45,10,view_home,2026-03-25 15:58:00,product
147,45,10,search,2026-03-25 15:58:43,product
148,45,10,view_product,2026-03-25 15:59:26,product
149,46,10,view_home,2026-03-15 09:15:00,product
