session_id,user_id,started_at,duration_seconds,device
1,1,2026-03-20 15:44:00,233,ios
2,1,2026-03-15 01:50:00,521,ios
3,1,2026-03-20 10:55:00,422,ios
4,2,2026-03-05 01:59:00,517,android
5,2,2026-03-07 00:43:00,272,android
6,2,2026-03-05 03:19:00,484,android
7,2,2026-03-14 21:25:00,239,android
8,2,2026-03-17 08:23:00,305,android
9,2,2026-03-07 01:57:00,363,android
10,3,2026-03-10 06:44:00,324,ios
11,3,2026-03-11 14:40:00,427,ios
12,3,2026-03-17 05:20:00,456,ios
13,3,2026-03-17 04:25:00,564,ios
14,3,2026-03-16 18:37:00,506,ios
15,3,2026-03-15 05:56:00,329,ios
16,3,2026-03-11 20:21:00,275,ios
17,4,2026-03-09 03:04:00,278,ios
18,4,2026-03-18 18:32:00,145,ios
19,4,2026-03-09 12:54:00,282,ios
20,4,2026-03-12 02:52:00,401,ios
21,5,2026-03-16 01:38:00,147,android
22,6,2026-03-11 12:57:00,513,android
23,6,2026-03-15 11:18:00,547,android
24,6,2026-03-07 08:28:00,286,android
25,6,2026-03-13 13:34:00,524,android
26,6,2026-03-08 13:42:00,472,android
27,6,2026-03-12 04:10:00,513,android
28,6,2026-03-05 08:32:00,515,android
29,7,2026-03-11 13:41:00,184,web
30,7,2026-03-09 14:11:00,317,web
31,7,2026-03-11 09:30:00,370,web
32,7,2026-03-09 16:57:00,153,web
33,7,2026-03-19 11:39:00,201,web
34,7,2026-03-14 07:53:00,339,web
35,8,2026-03-12 02:37:00,351,ios
36,8,2026-03-20 20:21:00,295,ios
37,8,2026-03-13 21:28:00,319,ios
38,8,2026-03-22 13:01:00,269,ios
39,8,2026-03-14 22:39:00,155,ios
40,9,2026-03-17 12:14:00,268,web
41,9,2026-03-11 16:26:00,276,web
42,10,2026-03-14 01:53:00,404,android
43,10,2026-03-24 16:24:00,229,android
44,10,2026-03-16 02:38:00,530,android
45,10,2026-03-25 15:58:00,229,android
46,10,2026-03-15 09:15:00,373,android
47,10,2026-03-21 18:27:00,265,android
48,10,2026-03-21 14:44:00,337,android
49,10,2026-03-25 09:28:00,393,android
50,10,2026-03-18 13:18:00,325,android
51,11,2026-03-20 18:49:00,191,android
52,11,2026-03-15 09:52:00,315,android
53,11,2026-03-17 04:01:00,412,android
54,11,2026-03-14 11:15:00,322,android
55,11,2026-03-19 21:45:00,223,android
56,11,2026-03-14 21:25:00,302,android
57,11,2026-03-14 06:39:00,301,android
58,11,2026-03-10 07:49:00,273,android
59,12,2026-03-08 04:49:00,600,android
60,12,2026-03-08 19:12:00,456,android
61,13,2026-03-10 02:56:00,352,android
62,13,2026-03-08 19:41:00,347,android
63,13,2026-03-05 20:44:00,359,android
64,13,2026-03-02 23:00:00,480,android
65,13,2026-03-12 15:28:00,172,android
66,14,2026-03-14 17:42:00,537,web
67,14,2026-03-03 22:47:00,538,web
68,14,2026-03-11 03:24:00,391,web
69,14,2026-03-03 11:04:00,462,web
70,14,2026-03-03 23:51:00,371,web
71,14,2026-03-16 01:59:00,374,web
72,14,2026-03-06 22:07:00,541,web
73,14,2026-03-06 21:33:00,251,web
74,14,2026-03-09 23:12:00,433,web
75,15,2026-03-10 13:23:00,342,ios
76,15,2026-03-18 04:50:00,279,ios
77,16,2026-03-06 18:43:00,242,ios
78,16,2026-03-13 18:44:00,477,ios
79,16,2026-03-19 13:38:00,315,ios
80,17,2026-03-23 14:25:00,380,android
81,18,2026-03-23 05:52:00,292,web
82,19,2026-03-05 11:08:00,382,ios
83,19,2026-03-06 00:02:00,438,ios
84,19,2026-03-09 10:26:00,579,ios
85,19,2026-03-07 19:50:00,424,ios
86,19,2026-03-10 10:00:00,249,ios
87,19,2026-03-10 22:16:00,599,ios
88,19,2026-03-03 11:15:00,496,ios
89,19,2026-03-05 13:04:00,608,ios
90,19,2026-03-04 18:54:00,464,ios
91,19,2026-03-11 20:53:00,459,ios
92,20,2026-03-09 10:56:00,374,android
93,20,2026-03-10 00:56:00,318,android
94,20,2026-03-14 16:26:00,68,android
95,21,2026-03-14 22:50:00,253,web
96,21,2026-03-18 09:26:00,295,web
97,21,2026-03-19 18:34:00,608,web
98,21,2026-03-19 04:30:00,311,web
99,21,2026-03-15 13:54:00,284,web
100,21,2026-03-16 14:36:00,345,web
101,21,2026-03-18 04:28:00,323,web
102,22,2026-03-03 05:44:00,171,web
103,22,2026-03-08 10:20:00,374,web
104,22,2026-03-04 14:51:00,485,web
105,22,2026-03-14 04:16:00,286,web
106,22,2026-03-07 22:13:00,250,web
107,22,2026-03-10 01:17:00,438,web
108,23,2026-03-17 22:04:00,494,web
109,23,2026-03-11 21:30:00,447,web
110,23,2026-03-20 00:13:00,461,web
111,23,2026-03-23 21:01:00,563,web
112,24,2026-03-09 03:15:00,360,android
113,24,2026-03-16 15:26:00,494,android
114,24,2026-03-17 03:47:00,414,android
115,24,2026-03-17 18:56:00,417,android
116,24,2026-03-16 15:58:00,467,android
117,24,2026-03-08 19:34:00,394,android
118,24,2026-03-20 21:49:00,403,android
119,24,2026-03-14 02:10:00,440,android
120,24,2026-03-11 05:04:00,337,android
121,24,2026-03-18 19:35:00,547,android
122,25,2026-03-02 10:24:00,287,android
123,25,2026-03-03 13:25:00,519,android
124,25,2026-03-12 08:15:00,360,android
125,25,2026-03-08 17:30:00,270,android
126,26,2026-03-13 06:16:00,368,ios
127,26,2026-03-14 21:42:00,490,ios
128,26,2026-03-17 02:04:00,246,ios
129,27,2026-03-22 09:01:00,294,web
130,27,2026-03-19 18:19:00,350,web
131,27,2026-03-18 12:50:00,400,web
132,27,2026-03-24 12:11:00,374,web
133,27,2026-03-17 08:29:00,462,web
134,27,2026-03-21 16:51:00,357,web
135,28,2026-03-08 16:50:00,292,android
136,28,2026-03-07 22:41:00,470,android
137,28,2026-03-05 20:29:00,230,android
138,29,2026-03-18 16:09:00,215,web
139,29,2026-03-18 09:01:00,173,web
140,29,2026-03-14 20:14:00,228,web
141,29,2026-03-15 07:54:00,220,web
142,29,2026-03-07 08:07:00,342,web
143,30,2026-03-05 05:31:00,327,android
144,30,2026-03-10 21:50:00,232,android
145,30,2026-03-09 22:09:00,428,android
146,30,2026-03-08 00:30:00,273,android
147,30,2026-03-10 01:45:00,452,android
148,30,2026-03-03 13:44:00,293,android
149,30,2026-03-09 15:34:00,439,android
150,31,2026-03-17 13:51:00,189,android
151,31,2026-03-06 09:01:00,470,android
152,31,2026-03-05 07:09:00,316,android
153,32,2026-03-15 18:42:00,242,web
154,32,2026-03-20 02:16:00,447,web
155,32,2026-03-27 02:11:00,388,web
156,32,2026-03-24 19:27:00,440,web
157,32,2026-03-20 07:57:00,349,web
158,32,2026-03-16 08:29:00,434,web
159,33,2026-03-10 04:27:00,156,android
160,33,2026-03-13 09:06:00,296,android
161,33,2026-03-11 21:44:00,312,android
162,33,2026-03-14 09:58:00,239,android
163,33,2026-03-13 19:11:00,339,android
164,34,2026-03-12 14:10:00,377,web
165,34,2026-03-09 22:32:00,278,web
166,34,2026-03-12 22:32:00,460,web
167,34,2026-03-05 12:43:00,323,web
168,35,2026-03-12 12:12:00,165,android
169,35,2026-03-08 14:34:00,166,android
170,35,2026-03-13 14:27:00,376,android
171,35,2026-03-21 11:41:00,220,android
172,35,2026-03-20 16:06:00,126,android
173,35,2026-03-15 15:30:00,256,android
174,35,2026-03-16 23:34:00,211,android
175,36,2026-03-11 05:51:00,441,android
176,36,2026-03-17 10:46:00,484,android
177,37,2026-03-19 22:42:00,157,ios
178,38,2026-03-12 17:02:00,330,android
179,38,2026-03-04 09:03:00,399,android
180,38,2026-03-06 03:30:00,302,android
181,39,2026-03-21 12:30:00,405,android
182,39,2026-03-20 16:15:00,364,android
183,39,2026-03-14 14:16:00,285,android
184,39,2026-03-10 09:02:00,230,android
185,39,2026-03-13 09:30:00,239,android
186,40,2026-03-21 00:33:00,279,ios
187,40,2026-03-22 03:14:00,191,ios
188,40,2026-03-10 14:48:00,287,ios
189,40,2026-03-17 15:32:00,318,ios
190,40,2026-03-21 16:37:00,256,ios
191,41,2026-03-14 08:50:00,238,ios
192,41,2026-03-14 05:27:00,199,ios
193,41,2026-03-17 11:14:00,407,ios
194,41,2026-03-14 18:11:00,314,ios
195,42,2026-03-12 05:41:00,448,android
196,42,2026-03-11 14:35:00,392,android
197,42,2026-03-19 16:30:00,498,android
198,42,2026-03-12 14:11:00,457,android
199,42,2026-03-13 08:39:00,312,android
200,42,2026-03-20 00:06:00,367,android
201,42,2026-03-12 21:45:00,489,android
202,43,2026-03-09 21:51:00,175,android
203,43,2026-03-17 10:17:00,259,android
204,43,2026-03-16 23:30:00,371,android
205,44,2026-03-14 16:09:00,225,android
206,44,2026-03-05 19:49:00,502,android
207,44,2026-03-14 06:51:00,176,android
208,45,2026-03-10 23:04:00,396,ios
209,45,2026-03-09 10:43:00,560,ios
210,45,2026-03-16 07:58:00,370,ios
211,45,2026-03-12 22:43:00,492,ios
212,45,2026-03-08 09:50:00,365,ios
213,46,2026-03-07 03:32:00,386,ios
214,46,2026-03-09 12:49:00,336,ios
215,46,2026-03-11 23:41:00,403,ios
216,46,2026-03-12 22:56:00,364,ios
217,47,2026-03-17 10:27:00,319,ios
218,47,2026-03-14 08:26:00,196,ios
219,47,2026-03-17 19:25:00,445,ios
220,47,2026-03-16 00:30:00,426,ios
221,47,2026-03-16 00:40:00,446,ios
222,47,2026-03-07 14:18:00,164,ios
223,47,2026-03-17 02:48:00,441,ios
224,48,2026-03-11 23:33:00,322,web
225,48,2026-03-17 02:48:00,237,web
226,49,2026-03-09 10:40:00,203,web
227,49,2026-03-02 11:28:00,271,web
228,49,2026-03-07 21:27:00,419,web
229,49,2026-03-01 21:56:00,164,web
230,49,2026-03-01 20:32:00,301,web
231,50,2026-03-13 16:08:00,91,ios
232,50,2026-03-17 14:58:00,199,ios
233,50,2026-03-05 10:32:00,217,ios
234,50,2026-03-12 02:53:00,360,ios
235,51,2026-03-20 01:31:00,458,android
236,51,2026-03-22 12:34:00,312,android
237,51,2026-03-26 07:39:00,177,android
238,52,2026-03-14 11:57:00,42,ios
239,53,2026-03-18 20:05:00,415,ios
240,53,2026-03-19 10:08:00,255,ios
241,53,2026-03-16 09:52:00,230,ios
242,54,2026-03-07 06:45:00,337,ios
243,54,2026-03-13 03:11:00,277,ios
244,54,2026-03-18 18:42:00,270,ios
245,54,2026-03-14 13:54:00,238,ios
246,54,2026-03-10 12:35:00,97,ios
247,54,2026-03-08 15:22:00,333,ios
248,54,2026-03-13 09:00:00,281,ios
249,55,2026-03-13 13:37:00,365,ios
250,55,2026-03-03 13:16:00,470,ios
251,55,2026-03-15 13:03:00,278,ios
252,55,2026-03-04 13:40:00,146,ios
253,56,2026-03-11 09:21:00,373,android
254,56,2026-03-10 21:09:00,247,android
255,57,2026-03-10 06:18:00,30,web
256,57,2026-03-03 05:42:00,278,web
257,57,2026-03-06 12:13:00,403,web
258,57,2026-03-16 12:49:00,378,web
259,57,2026-03-10 05:13:00,313,web
260,58,2026-03-24 06:10:00,240,ios
261,58,2026-03-26 19:13:00,291,ios
262,58,2026-03-26 15:04:00,225,ios
263,58,2026-03-18 11:30:00,270,ios
264,58,2026-03-27 14:16:00,333,ios
265,58,2026-03-23 21:30:00,258,ios
266,59,2026-03-19 17:55:00,261,android
267,59,2026-03-19 03:13:00,57,android
268,60,2026-03-22 01:14:00,239,web
269,60,2026-03-18 16:46:00,399,web
270,60,2026-03-15 08:34:00,285,web
271,61,2026-03-21 00:19:00,158,web
272,61,2026-03-12 23:57:00,268,web
273,62,2026-03-07 05:52:00,381,android
274,62,2026-03-10 09:57:00,245,android
275,62,2026-03-15 13:32:00,310,android
276,62,2026-03-07 21:34:00,200,android
277,62,2026-03-12 19:25:00,172,android
278,62,2026-03-19 04:05:00,156,android
279,63,2026-03-15 16:02:00,285,ios
280,63,2026-03-16 18:45:00,418,ios
281,63,2026-03-08 16:25:00,74,ios
282,63,2026-03-15 11:04:00,368,ios
283,64,2026-03-25 02:51:00,324,android
284,64,2026-03-16 19:08:00,455,android
285,64,2026-03-16 18:54:00,435,android
286,64,2026-03-16 09:53:00,178,android
287,64,2026-03-19 15:40:00,279,android
288,65,2026-03-19 17:59:00,428,ios
289,65,2026-03-23 19:42:00,458,ios
290,65,2026-03-25 14:50:00,148,ios
291,65,2026-03-25 16:59:00,341,ios
292,65,2026-03-16 07:02:00,230,ios
293,65,2026-03-13 19:34:00,301,ios
294,65,2026-03-17 11:03:00,299,ios
295,66,2026-03-10 06:39:00,275,web
296,66,2026-03-16 04:01:00,400,web
297,66,2026-03-20 15:16:00,369,web
298,66,2026-03-14 16:07:00,218,web
299,66,2026-03-19 00:36:00,185,web
300,66,2026-03-21 08:47:00,281,web
301,66,2026-03-13 11:50:00,297,web
302,67,2026-03-14 22:01:00,467,android
303,67,2026-03-17 01:49:00,368,android
304,67,2026-03-13 19:15:00,481,android
305,67,2026-03-24 22:59:00,242,android
306,67,2026-03-26 14:07:00,381,android
307,68,2026-03-16 12:29:00,113,android
308,69,2026-03-10 10:16:00,422,ios
309,69,2026-03-11 23:33:00,214,ios
310,70,2026-03-18 00:31:00,358,android
311,70,2026-03-15 01:12:00,304,android
312,70,2026-03-16 17:03:00,297,android
313,70,2026-03-15 20:03:00,374,android
314,70,2026-03-20 01:00:00,179,android
315,70,2026-03-15 12:10:00,475,android
316,70,2026-03-16 00:13:00,473,android
317,70,2026-03-15 08:01:00,182,android
318,71,2026-03-13 19:47:00,259,web
319,71,2026-03-13 05:23:00,235,web
320,71,2026-03-15 00:07:00,327,web
321,72,2026-03-13 15:42:00,310,android
322,73,2026-03-21 01:53:00,594,android
323,73,2026-03-20 15:04:00,533,android
324,73,2026-03-18 07:35:00,463,android
325,73,2026-03-15 22:14:00,277,android
